"REF_DATE","GEO","DGUID","Components of population growth","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000/2001","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","327487","","","","0"
"2001/2002","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","329131","","","","0"
"2002/2003","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","331640","","","","0"
"2003/2004","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","339351","","","","0"
"2004/2005","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","341833","","","","0"
"2005/2006","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","349162","","","","0"
"2006/2007","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","363935","","","","0"
"2007/2008","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","376992","","","","0"
"2008/2009","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","383257","","","","0"
"2009/2010","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","382159","","","","0"
"2010/2011","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","378665","","","","0"
"2011/2012","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","380335","","","","0"
"2012/2013","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","382609","","","","0"
"2013/2014","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","382877","","","","0"
"2014/2015","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","383839","","","","0"
"2015/2016","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","384300","","","","0"
"2016/2017","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","380554","","","","0"
"2017/2018","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","377163","","","","0"
"2018/2019","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","373307","","","","0"
"2019/2020","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","371321","","","","0"
"2020/2021","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","362563","","","","0"
"2021/2022","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","364503","","","","0"
"2022/2023","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","351708","","","","0"
"2023/2024","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","359885","","","","0"
"2000/2001","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","219320","","","","0"
"2001/2002","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","220847","","","","0"
"2002/2003","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","224254","","","","0"
"2003/2004","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","229256","","","","0"
"2004/2005","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","230211","","","","0"
"2005/2006","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","225915","","","","0"
"2006/2007","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","234193","","","","0"
"2007/2008","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","236696","","","","0"
"2008/2009","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","237896","","","","0"
"2009/2010","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","237330","","","","0"
"2010/2011","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","245667","","","","0"
"2011/2012","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","242669","","","","0"
"2012/2013","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","251865","","","","0"
"2013/2014","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","253122","","","","0"
"2014/2015","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","266313","","","","0"
"2015/2016","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","262278","","","","0"
"2016/2017","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","274517","","","","0"
"2017/2018","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","283939","","","","0"
"2018/2019","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","283148","","","","0"
"2019/2020","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","297195","","","","0"
"2020/2021","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","307297","","","","0"
"2021/2022","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","323105","","","","0"
"2022/2023","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","337708","","","","0"
"2023/2024","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","344593","","","","0"
"2000/2001","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","252527","","","","0"
"2001/2002","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","256405","","","","0"
"2002/2003","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","199170","","","","0"
"2003/2004","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","239101","","","","0"
"2004/2005","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","244599","","","","0"
"2005/2006","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","254381","","","","0"
"2006/2007","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","238127","","","","0"
"2007/2008","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","249632","","","","0"
"2008/2009","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","245313","","","","0"
"2009/2010","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","270635","","","","0"
"2010/2011","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","259143","","","","0"
"2011/2012","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","260043","","","","0"
"2012/2013","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","263115","","","","0"
"2013/2014","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","267936","","","","0"
"2014/2015","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","240775","","","","0"
"2015/2016","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","323188","","","","0"
"2016/2017","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","272694","","","","0"
"2017/2018","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","303369","","","","0"
"2018/2019","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","313603","","","","0"
"2019/2020","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","284153","","","","0"
"2020/2021","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","226314","","","","0"
"2021/2022","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","493236","","","","0"
"2022/2023","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","468913","","","","0"
"2023/2024","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","464265","","","","0"
"2000/2001","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","55419","","","","0"
"2001/2002","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","51980","","","","0"
"2002/2003","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","52192","","","","0"
"2003/2004","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","55303","","","","0"
"2004/2005","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","53572","","","","0"
"2005/2006","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","54259","","","","0"
"2006/2007","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","45800","","","","0"
"2007/2008","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","51107","","","","0"
"2008/2009","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","47991","","","","0"
"2009/2010","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","42074","","","","0"
"2010/2011","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","42862","","","","0"
"2011/2012","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","54886","","","","0"
"2012/2013","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","51802","","","","0"
"2013/2014","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","53501","","","","0"
"2014/2015","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","54044","","","","0"
"2015/2016","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","54897","","","","0"
"2016/2017","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","56480","","","","0"
"2017/2018","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","39865","","","","0"
"2018/2019","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","34966","","","","0"
"2019/2020","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","31669","","","","0"
"2020/2021","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","25726","","","","0"
"2021/2022","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","47253","","","","0"
"2022/2023","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","48114","","","","0"
"2023/2024","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","49533","","","","0"
"2000/2001","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","47766","","","","0"
"2001/2002","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","50149","","","","0"
"2002/2003","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","53890","","","","0"
"2003/2004","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","58184","","","","0"
"2004/2005","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","57633","","","","0"
"2005/2006","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","61412","","","","0"
"2006/2007","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","66512","","","","0"
"2007/2008","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","66158","","","","0"
"2008/2009","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","61531","","","","0"
"2009/2010","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","58046","","","","0"
"2010/2011","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","61466","","","","0"
"2011/2012","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","65393","","","","0"
"2012/2013","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","62129","","","","0"
"2013/2014","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","63722","","","","0"
"2014/2015","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","65837","","","","0"
"2015/2016","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","67893","","","","0"
"2016/2017","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","119964","","","","0"
"2017/2018","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","98271","","","","0"
"2018/2019","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","92204","","","","0"
"2019/2020","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","77591","","","","0"
"2020/2021","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","66627","","","","0"
"2021/2022","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","99756","","","","0"
"2022/2023","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","101570","","","","0"
"2023/2024","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","104565","","","","0"
"2000/2001","Canada","2016A000011124","Returning emigrants","Persons","249","units","0","v29768527","1.10","17910","","","","0"
"2001/2002","Canada","2016A000011124","Returning emigrants","Persons","249","units","0","v29768527","1.10","25727","","","","0"
"2002/2003","Canada","2016A000011124","Returning emigrants","Persons","249","units","0","v29768527","1.10","29257","","","","0"
"2003/2004","Canada","2016A000011124","Returning emigrants","Persons","249","units","0","v29768527","1.10","30441","","","","0"
"2004/2005","Canada","2016A000011124","Returning emigrants","Persons","249","units","0","v29768527","1.10","31620","","","","0"
"2005/2006","Canada","2016A000011124","Returning emigrants","Persons","249","units","0","v29768527","1.10","34711","","","","0"
"2006/2007","Canada","2016A000011124","Returning emigrants","Persons","249","units","0","v29768527","1.10","39235","","","","0"
"2007/2008","Canada","2016A000011124","Returning emigrants","Persons","249","units","0","v29768527","1.10","33576","","","","0"
"2008/2009","Canada","2016A000011124","Returning emigrants","Persons","249","units","0","v29768527","1.10","32069","","","","0"
"2009/2010","Canada","2016A000011124","Returning emigrants","Persons","249","units","0","v29768527","1.10","34496","","","","0"
"2010/2011","Canada","2016A000011124","Returning emigrants","Persons","249","units","0","v29768527","1.10","37126","","","","0"
"2011/2012","Canada","2016A000011124","Returning emigrants","Persons","249","units","0","v29768527","1.10","37170","","","","0"
"2012/2013","Canada","2016A000011124","Returning emigrants","Persons","249","units","0","v29768527","1.10","36994","","","","0"
"2013/2014","Canada","2016A000011124","Returning emigrants","Persons","249","units","0","v29768527","1.10","36889","","","","0"
"2014/2015","Canada","2016A000011124","Returning emigrants","Persons","249","units","0","v29768527","1.10","38458","","","","0"
"2015/2016","Canada","2016A000011124","Returning emigrants","Persons","249","units","0","v29768527","1.10","39660","","","","0"
"2016/2017","Canada","2016A000011124","Returning emigrants","Persons","249","units","0","v29768527","1.10","63484","","","","0"
"2017/2018","Canada","2016A000011124","Returning emigrants","Persons","249","units","0","v29768527","1.10","58406","","","","0"
"2018/2019","Canada","2016A000011124","Returning emigrants","Persons","249","units","0","v29768527","1.10","57238","","","","0"
"2019/2020","Canada","2016A000011124","Returning emigrants","Persons","249","units","0","v29768527","1.10","45922","","","","0"
"2020/2021","Canada","2016A000011124","Returning emigrants","Persons","249","units","0","v29768527","1.10","40901","","","","0"
"2021/2022","Canada","2016A000011124","Returning emigrants","Persons","249","units","0","v29768527","1.10","52503","","","","0"
"2022/2023","Canada","2016A000011124","Returning emigrants","Persons","249","units","0","v29768527","1.10","53456","","","","0"
"2023/2024","Canada","2016A000011124","Returning emigrants","Persons","249","units","0","v29768527","1.10","55032","","","","0"
"2000/2001","Canada","2016A000011124","Net temporary emigration","Persons","249","units","0","v29768528","1.11","25563","","","","0"
"2001/2002","Canada","2016A000011124","Net temporary emigration","Persons","249","units","0","v29768528","1.11","27558","","","","0"
"2002/2003","Canada","2016A000011124","Net temporary emigration","Persons","249","units","0","v29768528","1.11","27559","","","","0"
"2003/2004","Canada","2016A000011124","Net temporary emigration","Persons","249","units","0","v29768528","1.11","27560","","","","0"
"2004/2005","Canada","2016A000011124","Net temporary emigration","Persons","249","units","0","v29768528","1.11","27559","","","","0"
"2005/2006","Canada","2016A000011124","Net temporary emigration","Persons","249","units","0","v29768528","1.11","27558","","","","0"
"2006/2007","Canada","2016A000011124","Net temporary emigration","Persons","249","units","0","v29768528","1.11","18523","","","","0"
"2007/2008","Canada","2016A000011124","Net temporary emigration","Persons","249","units","0","v29768528","1.11","18525","","","","0"
"2008/2009","Canada","2016A000011124","Net temporary emigration","Persons","249","units","0","v29768528","1.11","18529","","","","0"
"2009/2010","Canada","2016A000011124","Net temporary emigration","Persons","249","units","0","v29768528","1.11","18524","","","","0"
"2010/2011","Canada","2016A000011124","Net temporary emigration","Persons","249","units","0","v29768528","1.11","18522","","","","0"
"2011/2012","Canada","2016A000011124","Net temporary emigration","Persons","249","units","0","v29768528","1.11","26663","","","","0"
"2012/2013","Canada","2016A000011124","Net temporary emigration","Persons","249","units","0","v29768528","1.11","26667","","","","0"
"2013/2014","Canada","2016A000011124","Net temporary emigration","Persons","249","units","0","v29768528","1.11","26668","","","","0"
"2014/2015","Canada","2016A000011124","Net temporary emigration","Persons","249","units","0","v29768528","1.11","26665","","","","0"
"2015/2016","Canada","2016A000011124","Net temporary emigration","Persons","249","units","0","v29768528","1.11","26664","","","","0"
"2016/2017","Canada","2016A000011124","Net temporary emigration","Persons","249","units","0","v29768528","1.11","","..","","","0"
"2017/2018","Canada","2016A000011124","Net temporary emigration","Persons","249","units","0","v29768528","1.11","","..","","","0"
"2018/2019","Canada","2016A000011124","Net temporary emigration","Persons","249","units","0","v29768528","1.11","","..","","","0"
"2019/2020","Canada","2016A000011124","Net temporary emigration","Persons","249","units","0","v29768528","1.11","","..","","","0"
"2020/2021","Canada","2016A000011124","Net temporary emigration","Persons","249","units","0","v29768528","1.11","","..","","","0"
"2021/2022","Canada","2016A000011124","Net temporary emigration","Persons","249","units","0","v29768528","1.11","","..","","","0"
"2000/2001","Canada","2016A000011124","Net non-permanent residents","Persons","249","units","0","v29768529","1.12","39652","","","","0"
"2001/2002","Canada","2016A000011124","Net non-permanent residents","Persons","249","units","0","v29768529","1.12","33510","","","","0"
"2002/2003","Canada","2016A000011124","Net non-permanent residents","Persons","249","units","0","v29768529","1.12","36771","","","","0"
"2003/2004","Canada","2016A000011124","Net non-permanent residents","Persons","249","units","0","v29768529","1.12","10348","","","","0"
"2004/2005","Canada","2016A000011124","Net non-permanent residents","Persons","249","units","0","v29768529","1.12","9148","","","","0"
"2005/2006","Canada","2016A000011124","Net non-permanent residents","Persons","249","units","0","v29768529","1.12","15978","","","","0"
"2006/2007","Canada","2016A000011124","Net non-permanent residents","Persons","249","units","0","v29768529","1.12","27424","","","","0"
"2007/2008","Canada","2016A000011124","Net non-permanent residents","Persons","249","units","0","v29768529","1.12","51478","","","","0"
"2008/2009","Canada","2016A000011124","Net non-permanent residents","Persons","249","units","0","v29768529","1.12","71886","","","","0"
"2009/2010","Canada","2016A000011124","Net non-permanent residents","Persons","249","units","0","v29768529","1.12","34243","","","","0"
"2010/2011","Canada","2016A000011124","Net non-permanent residents","Persons","249","units","0","v29768529","1.12","14724","","","","0"
"2011/2012","Canada","2016A000011124","Net non-permanent residents","Persons","249","units","0","v29768529","1.12","55400","","","","0"
"2012/2013","Canada","2016A000011124","Net non-permanent residents","Persons","249","units","0","v29768529","1.12","49521","","","","0"
"2013/2014","Canada","2016A000011124","Net non-permanent residents","Persons","249","units","0","v29768529","1.12","32867","","","","0"
"2014/2015","Canada","2016A000011124","Net non-permanent residents","Persons","249","units","0","v29768529","1.12","-9841","","","","0"
"2015/2016","Canada","2016A000011124","Net non-permanent residents","Persons","249","units","0","v29768529","1.12","35448","","","","0"
"2016/2017","Canada","2016A000011124","Net non-permanent residents","Persons","249","units","0","v29768529","1.12","103776","","","","0"
"2017/2018","Canada","2016A000011124","Net non-permanent residents","Persons","249","units","0","v29768529","1.12","162573","","","","0"
"2018/2019","Canada","2016A000011124","Net non-permanent residents","Persons","249","units","0","v29768529","1.12","168833","","","","0"
"2019/2020","Canada","2016A000011124","Net non-permanent residents","Persons","249","units","0","v29768529","1.12","75265","","","","0"
"2020/2021","Canada","2016A000011124","Net non-permanent residents","Persons","249","units","0","v29768529","1.12","-51719","","","","0"
"2021/2022","Canada","2016A000011124","Net non-permanent residents","Persons","249","units","0","v29768529","1.12","208689","","","","0"
"2022/2023","Canada","2016A000011124","Net non-permanent residents","Persons","249","units","0","v29768529","1.12","712751","","","","0"
"2023/2024","Canada","2016A000011124","Net non-permanent residents","Persons","249","units","0","v29768529","1.12","775091","","","","0"
"2000/2001","Canada","2016A000011124","Non-permanent residents, inflows","Persons","249","units","0","v1566834713","1.14","","..","","","0"
"2001/2002","Canada","2016A000011124","Non-permanent residents, inflows","Persons","249","units","0","v1566834713","1.14","","..","","","0"
"2002/2003","Canada","2016A000011124","Non-permanent residents, inflows","Persons","249","units","0","v1566834713","1.14","","..","","","0"
"2003/2004","Canada","2016A000011124","Non-permanent residents, inflows","Persons","249","units","0","v1566834713","1.14","","..","","","0"
"2004/2005","Canada","2016A000011124","Non-permanent residents, inflows","Persons","249","units","0","v1566834713","1.14","","..","","","0"
"2005/2006","Canada","2016A000011124","Non-permanent residents, inflows","Persons","249","units","0","v1566834713","1.14","","..","","","0"
"2006/2007","Canada","2016A000011124","Non-permanent residents, inflows","Persons","249","units","0","v1566834713","1.14","","..","","","0"
"2007/2008","Canada","2016A000011124","Non-permanent residents, inflows","Persons","249","units","0","v1566834713","1.14","","..","","","0"
"2008/2009","Canada","2016A000011124","Non-permanent residents, inflows","Persons","249","units","0","v1566834713","1.14","","..","","","0"
"2009/2010","Canada","2016A000011124","Non-permanent residents, inflows","Persons","249","units","0","v1566834713","1.14","","..","","","0"
"2010/2011","Canada","2016A000011124","Non-permanent residents, inflows","Persons","249","units","0","v1566834713","1.14","","..","","","0"
"2011/2012","Canada","2016A000011124","Non-permanent residents, inflows","Persons","249","units","0","v1566834713","1.14","","..","","","0"
"2012/2013","Canada","2016A000011124","Non-permanent residents, inflows","Persons","249","units","0","v1566834713","1.14","","..","","","0"
"2013/2014","Canada","2016A000011124","Non-permanent residents, inflows","Persons","249","units","0","v1566834713","1.14","","..","","","0"
"2014/2015","Canada","2016A000011124","Non-permanent residents, inflows","Persons","249","units","0","v1566834713","1.14","","..","","","0"
"2015/2016","Canada","2016A000011124","Non-permanent residents, inflows","Persons","249","units","0","v1566834713","1.14","","..","","","0"
"2016/2017","Canada","2016A000011124","Non-permanent residents, inflows","Persons","249","units","0","v1566834713","1.14","","..","","","0"
"2017/2018","Canada","2016A000011124","Non-permanent residents, inflows","Persons","249","units","0","v1566834713","1.14","","..","","","0"
"2018/2019","Canada","2016A000011124","Non-permanent residents, inflows","Persons","249","units","0","v1566834713","1.14","","..","","","0"
"2019/2020","Canada","2016A000011124","Non-permanent residents, inflows","Persons","249","units","0","v1566834713","1.14","","..","","","0"
"2020/2021","Canada","2016A000011124","Non-permanent residents, inflows","Persons","249","units","0","v1566834713","1.14","","..","","","0"
"2021/2022","Canada","2016A000011124","Non-permanent residents, inflows","Persons","249","units","0","v1566834713","1.14","737355","","","","0"
"2022/2023","Canada","2016A000011124","Non-permanent residents, inflows","Persons","249","units","0","v1566834713","1.14","1131203","","","","0"
"2023/2024","Canada","2016A000011124","Non-permanent residents, inflows","Persons","249","units","0","v1566834713","1.14","1318706","","","","0"
"2000/2001","Canada","2016A000011124","Non-permanent residents, outflows","Persons","249","units","0","v1566834728","1.15","","..","","","0"
"2001/2002","Canada","2016A000011124","Non-permanent residents, outflows","Persons","249","units","0","v1566834728","1.15","","..","","","0"
"2002/2003","Canada","2016A000011124","Non-permanent residents, outflows","Persons","249","units","0","v1566834728","1.15","","..","","","0"
"2003/2004","Canada","2016A000011124","Non-permanent residents, outflows","Persons","249","units","0","v1566834728","1.15","","..","","","0"
"2004/2005","Canada","2016A000011124","Non-permanent residents, outflows","Persons","249","units","0","v1566834728","1.15","","..","","","0"
"2005/2006","Canada","2016A000011124","Non-permanent residents, outflows","Persons","249","units","0","v1566834728","1.15","","..","","","0"
"2006/2007","Canada","2016A000011124","Non-permanent residents, outflows","Persons","249","units","0","v1566834728","1.15","","..","","","0"
"2007/2008","Canada","2016A000011124","Non-permanent residents, outflows","Persons","249","units","0","v1566834728","1.15","","..","","","0"
"2008/2009","Canada","2016A000011124","Non-permanent residents, outflows","Persons","249","units","0","v1566834728","1.15","","..","","","0"
"2009/2010","Canada","2016A000011124","Non-permanent residents, outflows","Persons","249","units","0","v1566834728","1.15","","..","","","0"
"2010/2011","Canada","2016A000011124","Non-permanent residents, outflows","Persons","249","units","0","v1566834728","1.15","","..","","","0"
"2011/2012","Canada","2016A000011124","Non-permanent residents, outflows","Persons","249","units","0","v1566834728","1.15","","..","","","0"
"2012/2013","Canada","2016A000011124","Non-permanent residents, outflows","Persons","249","units","0","v1566834728","1.15","","..","","","0"
"2013/2014","Canada","2016A000011124","Non-permanent residents, outflows","Persons","249","units","0","v1566834728","1.15","","..","","","0"
"2014/2015","Canada","2016A000011124","Non-permanent residents, outflows","Persons","249","units","0","v1566834728","1.15","","..","","","0"
"2015/2016","Canada","2016A000011124","Non-permanent residents, outflows","Persons","249","units","0","v1566834728","1.15","","..","","","0"
"2016/2017","Canada","2016A000011124","Non-permanent residents, outflows","Persons","249","units","0","v1566834728","1.15","","..","","","0"
"2017/2018","Canada","2016A000011124","Non-permanent residents, outflows","Persons","249","units","0","v1566834728","1.15","","..","","","0"
"2018/2019","Canada","2016A000011124","Non-permanent residents, outflows","Persons","249","units","0","v1566834728","1.15","","..","","","0"
"2019/2020","Canada","2016A000011124","Non-permanent residents, outflows","Persons","249","units","0","v1566834728","1.15","","..","","","0"
"2020/2021","Canada","2016A000011124","Non-permanent residents, outflows","Persons","249","units","0","v1566834728","1.15","","..","","","0"
"2021/2022","Canada","2016A000011124","Non-permanent residents, outflows","Persons","249","units","0","v1566834728","1.15","528666","","","","0"
"2022/2023","Canada","2016A000011124","Non-permanent residents, outflows","Persons","249","units","0","v1566834728","1.15","418452","","","","0"
"2023/2024","Canada","2016A000011124","Non-permanent residents, outflows","Persons","249","units","0","v1566834728","1.15","543615","","","","0"
"2000/2001","Canada","2016A000011124","Net interprovincial migration","Persons","249","units","0","v52153346","1.5","0","","","","0"
"2001/2002","Canada","2016A000011124","Net interprovincial migration","Persons","249","units","0","v52153346","1.5","0","","","","0"
"2002/2003","Canada","2016A000011124","Net interprovincial migration","Persons","249","units","0","v52153346","1.5","0","","","","0"
"2003/2004","Canada","2016A000011124","Net interprovincial migration","Persons","249","units","0","v52153346","1.5","0","","","","0"
"2004/2005","Canada","2016A000011124","Net interprovincial migration","Persons","249","units","0","v52153346","1.5","0","","","","0"
"2005/2006","Canada","2016A000011124","Net interprovincial migration","Persons","249","units","0","v52153346","1.5","0","","","","0"
"2006/2007","Canada","2016A000011124","Net interprovincial migration","Persons","249","units","0","v52153346","1.5","0","","","","0"
"2007/2008","Canada","2016A000011124","Net interprovincial migration","Persons","249","units","0","v52153346","1.5","0","","","","0"
"2008/2009","Canada","2016A000011124","Net interprovincial migration","Persons","249","units","0","v52153346","1.5","0","","","","0"
"2009/2010","Canada","2016A000011124","Net interprovincial migration","Persons","249","units","0","v52153346","1.5","0","","","","0"
"2010/2011","Canada","2016A000011124","Net interprovincial migration","Persons","249","units","0","v52153346","1.5","0","","","","0"
"2011/2012","Canada","2016A000011124","Net interprovincial migration","Persons","249","units","0","v52153346","1.5","0","","","","0"
"2012/2013","Canada","2016A000011124","Net interprovincial migration","Persons","249","units","0","v52153346","1.5","0","","","","0"
"2013/2014","Canada","2016A000011124","Net interprovincial migration","Persons","249","units","0","v52153346","1.5","0","","","","0"
"2014/2015","Canada","2016A000011124","Net interprovincial migration","Persons","249","units","0","v52153346","1.5","0","","","","0"
"2015/2016","Canada","2016A000011124","Net interprovincial migration","Persons","249","units","0","v52153346","1.5","0","","","","0"
"2016/2017","Canada","2016A000011124","Net interprovincial migration","Persons","249","units","0","v52153346","1.5","0","","","","0"
"2017/2018","Canada","2016A000011124","Net interprovincial migration","Persons","249","units","0","v52153346","1.5","0","","","","0"
"2018/2019","Canada","2016A000011124","Net interprovincial migration","Persons","249","units","0","v52153346","1.5","0","","","","0"
"2019/2020","Canada","2016A000011124","Net interprovincial migration","Persons","249","units","0","v52153346","1.5","0","","","","0"
